comando,texto
cerrarPuerta,Cerrando puerta principal.
apagarLuces,Desactivando iluminación general. Solicitud recibida.
anteriorMelodia,Reproduciendo la melodía anterior. Procesando.
encenderLuces,Activando iluminación general. Acción confirmada.
modoNormal,Regresando al modo estándar. Gracias.
abrirPuerta,Abriendo puerta principal. Ejecutando ahora.
anteriorMelodia,Volviendo a la pista anterior.
apagarLuces,Apagando luces del hogar.
anteriorMelodia,Reproduciendo la melodía anterior. Solicitud recibida.
cerrarPuerta,Cerrando puerta principal. Gracias.
abrirPuerta,Accionando mecanismo para abrir la puerta. Ejecutando ahora.
modoSuper,Entrando al modo super. Iniciando proceso.
modoNormal,Regresando al modo estándar. Procesando.
encenderLuces,Activando iluminación general. Procesando.
anteriorMelodia,Volviendo a la pista anterior. Gracias.
encenderLuces,Encendiendo luces del hogar. Acción confirmada.
abrirPuerta,Abriendo puerta principal. Acción confirmada.
cerrarPuerta,Cerrando puerta principal. Iniciando proceso.
abrirPuerta,Accionando mecanismo para abrir la puerta. Procesando.
encenderLuces,Las luces han sido encendidas. Acción confirmada.
modoNormal,Regresando al modo estándar. Gracias.
abrirPuerta,Accionando mecanismo para abrir la puerta. Gracias.
cerrarPuerta,Cerrando puerta principal. Procesando.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Acción confirmada.
cerrarPuerta,Iniciando cierre de la puerta. Acción confirmada.
abrirPuerta,Accionando mecanismo para abrir la puerta. Iniciando proceso.
encenderLuces,Activando iluminación general. Por favor.
abrirPuerta,Accionando mecanismo para abrir la puerta. Por favor.
modoNormal,Modo normal activado. Por favor.
abrirPuerta,Accionando mecanismo para abrir la puerta. Ejecutando ahora.
encenderLuces,Las luces han sido encendidas. Ejecutando ahora.
modoNormal,Reestableciendo estado normal del sistema. Iniciando proceso.
anteriorMelodia,Reproduciendo la melodía anterior. Ejecutando ahora.
modoSuper,Activando estado de máximo nivel. Gracias.
abrirPuerta,Accionando mecanismo para abrir la puerta. Gracias.
cerrarPuerta,Cerrando puerta principal. Iniciando proceso.
siguienteMelodia,Reproduciendo la siguiente melodía. Gracias.
anteriorMelodia,Reproduciendo la melodía anterior. Procesando.
encenderLuces,Las luces han sido encendidas. Ejecutando ahora.
modoNormal,Modo normal activado. Ejecutando ahora.
abrirPuerta,Iniciando apertura de la puerta. Solicitud recibida.
siguienteMelodia,Cambiando a la melodía siguiente. Por favor.
apagarLuces,Apagando luces del hogar. Por favor.
cerrarPuerta,Iniciando cierre de la puerta. Por favor.
anteriorMelodia,Reproduciendo la melodía anterior. Iniciando proceso.
modoNormal,Regresando al modo estándar. Solicitud recibida.
abrirPuerta,Accionando mecanismo para abrir la puerta. Gracias.
abrirPuerta,Iniciando apertura de la puerta. Solicitud recibida.
encenderLuces,Encendiendo luces del hogar.
anteriorMelodia,Retrocediendo a la melodía previa. Procesando.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Solicitud recibida.
siguienteMelodia,Cambiando a la melodía siguiente. Solicitud recibida.
apagarLuces,Las luces han sido apagadas. Ejecutando ahora.
cerrarPuerta,Cerrando puerta principal.
modoNormal,Reestableciendo estado normal del sistema. Acción confirmada.
siguienteMelodia,Avanzando a la siguiente pista musical. Iniciando proceso.
apagarLuces,Las luces han sido apagadas. Iniciando proceso.
modoNormal,Modo normal activado. Gracias.
apagarLuces,Desactivando iluminación general. Gracias.
modoSuper,Entrando al modo super. Acción confirmada.
modoSuper,Activando estado de máximo nivel. Por favor.
cerrarPuerta,Iniciando cierre de la puerta. Iniciando proceso.
encenderLuces,Encendiendo luces del hogar. Iniciando proceso.
anteriorMelodia,Reproduciendo la melodía anterior.
cerrarPuerta,Cerrando puerta principal. Iniciando proceso.
anteriorMelodia,Reproduciendo la melodía anterior. Gracias.
abrirPuerta,Abriendo puerta principal. Solicitud recibida.
abrirPuerta,Iniciando apertura de la puerta. Acción confirmada.
apagarLuces,Apagando luces del hogar. Por favor.
abrirPuerta,Iniciando apertura de la puerta. Iniciando proceso.
encenderLuces,Activando iluminación general. Acción confirmada.
siguienteMelodia,Reproduciendo la siguiente melodía. Gracias.
apagarLuces,Apagando luces del hogar. Gracias.
encenderLuces,Encendiendo luces del hogar. Iniciando proceso.
apagarLuces,Apagando luces del hogar. Ejecutando ahora.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Ejecutando ahora.
apagarLuces,Las luces han sido apagadas.
encenderLuces,Las luces han sido encendidas. Procesando.
apagarLuces,Las luces han sido apagadas. Gracias.
siguienteMelodia,Reproduciendo la siguiente melodía. Gracias.
apagarLuces,Apagando luces del hogar. Por favor.
anteriorMelodia,Volviendo a la pista anterior. Gracias.
modoSuper,Activando estado de máximo nivel. Solicitud recibida.
anteriorMelodia,Volviendo a la pista anterior.
abrirPuerta,Abriendo puerta principal. Acción confirmada.
abrirPuerta,Accionando mecanismo para abrir la puerta. Gracias.
modoSuper,Modo super activado. Gracias.
encenderLuces,Activando iluminación general. Gracias.
modoSuper,Entrando al modo super. Acción confirmada.
siguienteMelodia,Reproduciendo la siguiente melodía. Gracias.
modoSuper,Entrando al modo super. Procesando.
abrirPuerta,Abriendo puerta principal. Acción confirmada.
cerrarPuerta,Iniciando cierre de la puerta. Solicitud recibida.
cerrarPuerta,Cerrando puerta principal.
modoNormal,Regresando al modo estándar. Gracias.
siguienteMelodia,Avanzando a la siguiente pista musical. Solicitud recibida.
abrirPuerta,Abriendo puerta principal. Gracias.
encenderLuces,Encendiendo luces del hogar. Gracias.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Iniciando proceso.
siguienteMelodia,Avanzando a la siguiente pista musical. Acción confirmada.
abrirPuerta,Iniciando apertura de la puerta. Ejecutando ahora.
apagarLuces,Apagando luces del hogar. Procesando.
apagarLuces,Desactivando iluminación general. Gracias.
apagarLuces,Apagando luces del hogar. Ejecutando ahora.
cerrarPuerta,Iniciando cierre de la puerta.
encenderLuces,Activando iluminación general. Procesando.
modoNormal,Reestableciendo estado normal del sistema. Iniciando proceso.
encenderLuces,Las luces han sido encendidas. Solicitud recibida.
anteriorMelodia,Volviendo a la pista anterior. Por favor.
siguienteMelodia,Cambiando a la melodía siguiente. Por favor.
encenderLuces,Activando iluminación general. Procesando.
anteriorMelodia,Volviendo a la pista anterior. Ejecutando ahora.
anteriorMelodia,Volviendo a la pista anterior. Gracias.
apagarLuces,Las luces han sido apagadas. Por favor.
anteriorMelodia,Reproduciendo la melodía anterior. Iniciando proceso.
encenderLuces,Las luces han sido encendidas. Procesando.
siguienteMelodia,Cambiando a la melodía siguiente. Acción confirmada.
apagarLuces,Las luces han sido apagadas. Procesando.
anteriorMelodia,Volviendo a la pista anterior. Por favor.
modoSuper,Modo super activado.
anteriorMelodia,Volviendo a la pista anterior. Solicitud recibida.
cerrarPuerta,Iniciando cierre de la puerta. Acción confirmada.
modoNormal,Regresando al modo estándar. Iniciando proceso.
modoNormal,Modo normal activado.
apagarLuces,Desactivando iluminación general. Iniciando proceso.
cerrarPuerta,Cerrando puerta principal. Procesando.
abrirPuerta,Accionando mecanismo para abrir la puerta. Solicitud recibida.
modoNormal,Reestableciendo estado normal del sistema. Solicitud recibida.
modoSuper,Modo super activado. Acción confirmada.
encenderLuces,Encendiendo luces del hogar. Procesando.
encenderLuces,Encendiendo luces del hogar. Acción confirmada.
anteriorMelodia,Reproduciendo la melodía anterior.
encenderLuces,Las luces han sido encendidas. Procesando.
modoSuper,Entrando al modo super.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Por favor.
cerrarPuerta,Cerrando puerta principal. Gracias.
apagarLuces,Apagando luces del hogar. Solicitud recibida.
encenderLuces,Las luces han sido encendidas. Gracias.
modoSuper,Activando estado de máximo nivel. Gracias.
apagarLuces,Las luces han sido apagadas. Procesando.
encenderLuces,Las luces han sido encendidas. Acción confirmada.
encenderLuces,Encendiendo luces del hogar.
modoNormal,Reestableciendo estado normal del sistema. Por favor.
abrirPuerta,Accionando mecanismo para abrir la puerta. Ejecutando ahora.
modoNormal,Regresando al modo estándar. Solicitud recibida.
modoSuper,Activando estado de máximo nivel. Procesando.
abrirPuerta,Iniciando apertura de la puerta. Procesando.
cerrarPuerta,Iniciando cierre de la puerta. Acción confirmada.
siguienteMelodia,Reproduciendo la siguiente melodía. Por favor.
modoSuper,Modo super activado. Gracias.
siguienteMelodia,Reproduciendo la siguiente melodía. Ejecutando ahora.
modoNormal,Reestableciendo estado normal del sistema. Acción confirmada.
modoSuper,Modo super activado.
siguienteMelodia,Avanzando a la siguiente pista musical. Acción confirmada.
apagarLuces,Apagando luces del hogar. Iniciando proceso.
siguienteMelodia,Avanzando a la siguiente pista musical. Por favor.
cerrarPuerta,Iniciando cierre de la puerta. Gracias.
anteriorMelodia,Retrocediendo a la melodía previa. Gracias.
apagarLuces,Apagando luces del hogar. Acción confirmada.
cerrarPuerta,Accionando mecanismo para cerrar la puerta.
siguienteMelodia,Reproduciendo la siguiente melodía. Ejecutando ahora.
modoSuper,Activando estado de máximo nivel. Por favor.
modoSuper,Modo super activado. Gracias.
encenderLuces,Activando iluminación general. Procesando.
siguienteMelodia,Reproduciendo la siguiente melodía. Iniciando proceso.
modoSuper,Modo super activado. Solicitud recibida.
cerrarPuerta,Accionando mecanismo para cerrar la puerta.
siguienteMelodia,Avanzando a la siguiente pista musical.
encenderLuces,Encendiendo luces del hogar. Iniciando proceso.
encenderLuces,Encendiendo luces del hogar.
apagarLuces,Apagando luces del hogar. Solicitud recibida.
apagarLuces,Apagando luces del hogar. Por favor.
modoNormal,Reestableciendo estado normal del sistema. Procesando.
siguienteMelodia,Avanzando a la siguiente pista musical. Acción confirmada.
cerrarPuerta,Iniciando cierre de la puerta. Por favor.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Por favor.
encenderLuces,Encendiendo luces del hogar. Gracias.
abrirPuerta,Iniciando apertura de la puerta. Iniciando proceso.
modoNormal,Regresando al modo estándar. Procesando.
apagarLuces,Desactivando iluminación general. Iniciando proceso.
anteriorMelodia,Retrocediendo a la melodía previa.
modoNormal,Modo normal activado.
cerrarPuerta,Cerrando puerta principal. Ejecutando ahora.
siguienteMelodia,Cambiando a la melodía siguiente. Solicitud recibida.
modoNormal,Reestableciendo estado normal del sistema. Por favor.
modoNormal,Regresando al modo estándar.
abrirPuerta,Accionando mecanismo para abrir la puerta.
apagarLuces,Desactivando iluminación general. Solicitud recibida.
modoNormal,Reestableciendo estado normal del sistema. Ejecutando ahora.
anteriorMelodia,Volviendo a la pista anterior. Iniciando proceso.
siguienteMelodia,Avanzando a la siguiente pista musical. Solicitud recibida.
anteriorMelodia,Retrocediendo a la melodía previa. Iniciando proceso.
encenderLuces,Encendiendo luces del hogar. Ejecutando ahora.
modoNormal,Modo normal activado. Ejecutando ahora.
apagarLuces,Las luces han sido apagadas.
encenderLuces,Encendiendo luces del hogar. Ejecutando ahora.
encenderLuces,Encendiendo luces del hogar. Iniciando proceso.
apagarLuces,Desactivando iluminación general. Procesando.
siguienteMelodia,Reproduciendo la siguiente melodía. Procesando.
modoNormal,Modo normal activado. Iniciando proceso.
modoSuper,Entrando al modo super. Iniciando proceso.
abrirPuerta,Iniciando apertura de la puerta. Acción confirmada.
modoNormal,Modo normal activado.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Solicitud recibida.
abrirPuerta,Abriendo puerta principal.
modoNormal,Reestableciendo estado normal del sistema. Solicitud recibida.
modoNormal,Reestableciendo estado normal del sistema. Iniciando proceso.
cerrarPuerta,Iniciando cierre de la puerta.
anteriorMelodia,Reproduciendo la melodía anterior.
modoSuper,Modo super activado. Iniciando proceso.
siguienteMelodia,Reproduciendo la siguiente melodía. Ejecutando ahora.
apagarLuces,Desactivando iluminación general. Acción confirmada.
apagarLuces,Apagando luces del hogar. Gracias.
encenderLuces,Las luces han sido encendidas. Acción confirmada.
modoNormal,Regresando al modo estándar. Gracias.
anteriorMelodia,Volviendo a la pista anterior. Iniciando proceso.
modoSuper,Modo super activado. Iniciando proceso.
siguienteMelodia,Avanzando a la siguiente pista musical. Solicitud recibida.
apagarLuces,Las luces han sido apagadas. Procesando.
siguienteMelodia,Avanzando a la siguiente pista musical. Iniciando proceso.
siguienteMelodia,Avanzando a la siguiente pista musical. Gracias.
modoSuper,Entrando al modo super. Ejecutando ahora.
apagarLuces,Las luces han sido apagadas.
modoSuper,Activando estado de máximo nivel. Iniciando proceso.
abrirPuerta,Abriendo puerta principal. Gracias.
modoNormal,Regresando al modo estándar. Solicitud recibida.
modoNormal,Reestableciendo estado normal del sistema.
abrirPuerta,Abriendo puerta principal. Iniciando proceso.
modoSuper,Entrando al modo super. Acción confirmada.
apagarLuces,Apagando luces del hogar. Solicitud recibida.
anteriorMelodia,Reproduciendo la melodía anterior. Por favor.
modoSuper,Activando estado de máximo nivel. Ejecutando ahora.
encenderLuces,Activando iluminación general. Iniciando proceso.
apagarLuces,Apagando luces del hogar. Acción confirmada.
abrirPuerta,Abriendo puerta principal. Procesando.
modoSuper,Entrando al modo super. Procesando.
modoSuper,Activando estado de máximo nivel. Procesando.
modoSuper,Entrando al modo super.
siguienteMelodia,Reproduciendo la siguiente melodía. Por favor.
apagarLuces,Las luces han sido apagadas. Ejecutando ahora.
modoNormal,Reestableciendo estado normal del sistema.
apagarLuces,Las luces han sido apagadas. Gracias.
encenderLuces,Encendiendo luces del hogar. Iniciando proceso.
abrirPuerta,Abriendo puerta principal. Acción confirmada.
apagarLuces,Desactivando iluminación general. Solicitud recibida.
anteriorMelodia,Volviendo a la pista anterior.
siguienteMelodia,Cambiando a la melodía siguiente. Solicitud recibida.
modoSuper,Modo super activado. Por favor.
apagarLuces,Las luces han sido apagadas. Acción confirmada.
siguienteMelodia,Cambiando a la melodía siguiente. Iniciando proceso.
modoSuper,Entrando al modo super. Por favor.
encenderLuces,Encendiendo luces del hogar. Por favor.
cerrarPuerta,Cerrando puerta principal. Solicitud recibida.
cerrarPuerta,Cerrando puerta principal. Ejecutando ahora.
modoNormal,Modo normal activado. Iniciando proceso.
encenderLuces,Encendiendo luces del hogar. Acción confirmada.
anteriorMelodia,Retrocediendo a la melodía previa. Iniciando proceso.
abrirPuerta,Abriendo puerta principal. Procesando.
anteriorMelodia,Retrocediendo a la melodía previa. Solicitud recibida.
siguienteMelodia,Avanzando a la siguiente pista musical.
siguienteMelodia,Avanzando a la siguiente pista musical.
anteriorMelodia,Volviendo a la pista anterior. Procesando.
modoNormal,Regresando al modo estándar.
modoNormal,Regresando al modo estándar. Iniciando proceso.
anteriorMelodia,Retrocediendo a la melodía previa. Iniciando proceso.
apagarLuces,Las luces han sido apagadas. Procesando.
modoNormal,Reestableciendo estado normal del sistema. Por favor.
anteriorMelodia,Volviendo a la pista anterior. Acción confirmada.
modoNormal,Modo normal activado. Solicitud recibida.
siguienteMelodia,Avanzando a la siguiente pista musical. Acción confirmada.
apagarLuces,Desactivando iluminación general. Iniciando proceso.
apagarLuces,Apagando luces del hogar. Gracias.
anteriorMelodia,Retrocediendo a la melodía previa. Gracias.
anteriorMelodia,Volviendo a la pista anterior. Ejecutando ahora.
modoNormal,Reestableciendo estado normal del sistema. Gracias.
siguienteMelodia,Reproduciendo la siguiente melodía. Por favor.
apagarLuces,Las luces han sido apagadas. Acción confirmada.
anteriorMelodia,Retrocediendo a la melodía previa. Gracias.
modoNormal,Reestableciendo estado normal del sistema. Acción confirmada.
cerrarPuerta,Cerrando puerta principal. Solicitud recibida.
modoSuper,Entrando al modo super.
anteriorMelodia,Volviendo a la pista anterior. Acción confirmada.
modoNormal,Modo normal activado. Gracias.
encenderLuces,Las luces han sido encendidas. Ejecutando ahora.
encenderLuces,Las luces han sido encendidas. Procesando.
modoSuper,Modo super activado.
anteriorMelodia,Reproduciendo la melodía anterior. Gracias.
anteriorMelodia,Volviendo a la pista anterior. Por favor.
apagarLuces,Desactivando iluminación general. Iniciando proceso.
cerrarPuerta,Cerrando puerta principal. Procesando.
encenderLuces,Activando iluminación general. Acción confirmada.
modoSuper,Entrando al modo super. Acción confirmada.
encenderLuces,Las luces han sido encendidas. Iniciando proceso.
modoNormal,Reestableciendo estado normal del sistema. Ejecutando ahora.
siguienteMelodia,Reproduciendo la siguiente melodía. Solicitud recibida.
anteriorMelodia,Retrocediendo a la melodía previa.
encenderLuces,Las luces han sido encendidas. Procesando.
abrirPuerta,Abriendo puerta principal. Gracias.
modoNormal,Regresando al modo estándar. Ejecutando ahora.
encenderLuces,Activando iluminación general. Iniciando proceso.
apagarLuces,Apagando luces del hogar. Por favor.
apagarLuces,Apagando luces del hogar. Ejecutando ahora.
apagarLuces,Apagando luces del hogar. Ejecutando ahora.
cerrarPuerta,Iniciando cierre de la puerta. Solicitud recibida.
modoNormal,Modo normal activado. Gracias.
modoSuper,Modo super activado.
modoSuper,Entrando al modo super. Por favor.
modoNormal,Modo normal activado. Solicitud recibida.
modoSuper,Entrando al modo super.
abrirPuerta,Accionando mecanismo para abrir la puerta. Gracias.
abrirPuerta,Iniciando apertura de la puerta.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Por favor.
cerrarPuerta,Cerrando puerta principal. Por favor.
anteriorMelodia,Reproduciendo la melodía anterior. Ejecutando ahora.
abrirPuerta,Iniciando apertura de la puerta. Procesando.
abrirPuerta,Abriendo puerta principal. Acción confirmada.
siguienteMelodia,Reproduciendo la siguiente melodía. Gracias.
abrirPuerta,Iniciando apertura de la puerta.
encenderLuces,Las luces han sido encendidas.
abrirPuerta,Abriendo puerta principal. Procesando.
siguienteMelodia,Reproduciendo la siguiente melodía. Ejecutando ahora.
apagarLuces,Desactivando iluminación general. Gracias.
modoSuper,Activando estado de máximo nivel.
modoSuper,Activando estado de máximo nivel. Gracias.
modoSuper,Modo super activado. Gracias.
apagarLuces,Las luces han sido apagadas.
cerrarPuerta,Iniciando cierre de la puerta. Acción confirmada.
anteriorMelodia,Volviendo a la pista anterior. Solicitud recibida.
modoNormal,Regresando al modo estándar. Procesando.
modoSuper,Modo super activado. Gracias.
siguienteMelodia,Cambiando a la melodía siguiente. Ejecutando ahora.
encenderLuces,Activando iluminación general.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Procesando.
siguienteMelodia,Reproduciendo la siguiente melodía. Iniciando proceso.
siguienteMelodia,Reproduciendo la siguiente melodía. Por favor.
modoSuper,Modo super activado. Acción confirmada.
encenderLuces,Encendiendo luces del hogar. Solicitud recibida.
modoNormal,Modo normal activado. Por favor.
modoNormal,Reestableciendo estado normal del sistema.
encenderLuces,Encendiendo luces del hogar. Gracias.
modoSuper,Modo super activado. Procesando.
encenderLuces,Encendiendo luces del hogar. Solicitud recibida.
apagarLuces,Apagando luces del hogar. Solicitud recibida.
modoNormal,Reestableciendo estado normal del sistema.
modoSuper,Entrando al modo super. Acción confirmada.
abrirPuerta,Iniciando apertura de la puerta. Acción confirmada.
cerrarPuerta,Cerrando puerta principal. Iniciando proceso.
cerrarPuerta,Cerrando puerta principal. Ejecutando ahora.
apagarLuces,Desactivando iluminación general. Procesando.
siguienteMelodia,Reproduciendo la siguiente melodía. Solicitud recibida.
siguienteMelodia,Cambiando a la melodía siguiente. Iniciando proceso.
encenderLuces,Activando iluminación general. Por favor.
abrirPuerta,Abriendo puerta principal. Acción confirmada.
encenderLuces,Las luces han sido encendidas. Solicitud recibida.
anteriorMelodia,Retrocediendo a la melodía previa. Por favor.
modoNormal,Regresando al modo estándar. Por favor.
encenderLuces,Activando iluminación general. Procesando.
cerrarPuerta,Cerrando puerta principal. Procesando.
siguienteMelodia,Cambiando a la melodía siguiente. Iniciando proceso.
modoNormal,Reestableciendo estado normal del sistema.
modoSuper,Entrando al modo super. Procesando.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Procesando.
apagarLuces,Apagando luces del hogar. Por favor.
modoSuper,Entrando al modo super. Acción confirmada.
siguienteMelodia,Reproduciendo la siguiente melodía. Iniciando proceso.
cerrarPuerta,Cerrando puerta principal.
abrirPuerta,Abriendo puerta principal. Procesando.
modoSuper,Entrando al modo super.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Iniciando proceso.
cerrarPuerta,Cerrando puerta principal.
encenderLuces,Activando iluminación general. Por favor.
abrirPuerta,Accionando mecanismo para abrir la puerta. Solicitud recibida.
siguienteMelodia,Reproduciendo la siguiente melodía. Gracias.
modoNormal,Regresando al modo estándar. Por favor.
modoSuper,Activando estado de máximo nivel.
modoNormal,Regresando al modo estándar. Gracias.
modoSuper,Modo super activado. Acción confirmada.
apagarLuces,Apagando luces del hogar. Gracias.
modoNormal,Modo normal activado. Acción confirmada.
siguienteMelodia,Cambiando a la melodía siguiente.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Acción confirmada.
cerrarPuerta,Cerrando puerta principal.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Acción confirmada.
apagarLuces,Las luces han sido apagadas. Ejecutando ahora.
apagarLuces,Las luces han sido apagadas. Gracias.
modoSuper,Modo super activado. Iniciando proceso.
abrirPuerta,Accionando mecanismo para abrir la puerta. Por favor.
modoNormal,Reestableciendo estado normal del sistema. Ejecutando ahora.
abrirPuerta,Abriendo puerta principal. Iniciando proceso.
encenderLuces,Las luces han sido encendidas. Por favor.
abrirPuerta,Accionando mecanismo para abrir la puerta. Procesando.
abrirPuerta,Accionando mecanismo para abrir la puerta. Iniciando proceso.
encenderLuces,Las luces han sido encendidas.
apagarLuces,Desactivando iluminación general.
cerrarPuerta,Iniciando cierre de la puerta. Por favor.
apagarLuces,Desactivando iluminación general. Iniciando proceso.
modoNormal,Regresando al modo estándar. Ejecutando ahora.
anteriorMelodia,Retrocediendo a la melodía previa. Ejecutando ahora.
abrirPuerta,Abriendo puerta principal.
apagarLuces,Las luces han sido apagadas. Iniciando proceso.
encenderLuces,Activando iluminación general. Por favor.
abrirPuerta,Accionando mecanismo para abrir la puerta. Por favor.
siguienteMelodia,Reproduciendo la siguiente melodía. Solicitud recibida.
modoNormal,Regresando al modo estándar. Acción confirmada.
abrirPuerta,Abriendo puerta principal. Procesando.
abrirPuerta,Abriendo puerta principal. Por favor.
modoNormal,Regresando al modo estándar. Iniciando proceso.
apagarLuces,Desactivando iluminación general. Acción confirmada.
modoSuper,Activando estado de máximo nivel. Procesando.
encenderLuces,Encendiendo luces del hogar. Por favor.
anteriorMelodia,Retrocediendo a la melodía previa. Iniciando proceso.
modoNormal,Reestableciendo estado normal del sistema. Procesando.
apagarLuces,Apagando luces del hogar. Acción confirmada.
modoNormal,Regresando al modo estándar.
modoNormal,Modo normal activado. Acción confirmada.
cerrarPuerta,Iniciando cierre de la puerta. Iniciando proceso.
siguienteMelodia,Avanzando a la siguiente pista musical. Ejecutando ahora.
cerrarPuerta,Cerrando puerta principal. Acción confirmada.
abrirPuerta,Iniciando apertura de la puerta. Solicitud recibida.
encenderLuces,Activando iluminación general. Ejecutando ahora.
abrirPuerta,Iniciando apertura de la puerta. Ejecutando ahora.
modoNormal,Modo normal activado. Procesando.
anteriorMelodia,Volviendo a la pista anterior. Solicitud recibida.
anteriorMelodia,Retrocediendo a la melodía previa. Por favor.
siguienteMelodia,Reproduciendo la siguiente melodía. Por favor.
encenderLuces,Activando iluminación general. Procesando.
siguienteMelodia,Reproduciendo la siguiente melodía. Solicitud recibida.
apagarLuces,Apagando luces del hogar. Ejecutando ahora.
siguienteMelodia,Reproduciendo la siguiente melodía. Por favor.
abrirPuerta,Iniciando apertura de la puerta. Por favor.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Ejecutando ahora.
encenderLuces,Encendiendo luces del hogar. Gracias.
siguienteMelodia,Avanzando a la siguiente pista musical. Por favor.
apagarLuces,Las luces han sido apagadas. Gracias.
siguienteMelodia,Reproduciendo la siguiente melodía. Ejecutando ahora.
siguienteMelodia,Reproduciendo la siguiente melodía. Iniciando proceso.
modoSuper,Entrando al modo super. Gracias.
anteriorMelodia,Retrocediendo a la melodía previa. Solicitud recibida.
siguienteMelodia,Avanzando a la siguiente pista musical. Solicitud recibida.
modoNormal,Modo normal activado. Acción confirmada.
modoSuper,Modo super activado. Ejecutando ahora.
apagarLuces,Apagando luces del hogar. Procesando.
cerrarPuerta,Iniciando cierre de la puerta. Ejecutando ahora.
cerrarPuerta,Cerrando puerta principal. Solicitud recibida.
modoSuper,Activando estado de máximo nivel. Acción confirmada.
anteriorMelodia,Retrocediendo a la melodía previa. Ejecutando ahora.
encenderLuces,Encendiendo luces del hogar. Por favor.
encenderLuces,Las luces han sido encendidas. Por favor.
siguienteMelodia,Reproduciendo la siguiente melodía. Ejecutando ahora.
apagarLuces,Desactivando iluminación general. Ejecutando ahora.
siguienteMelodia,Avanzando a la siguiente pista musical. Procesando.
abrirPuerta,Accionando mecanismo para abrir la puerta. Iniciando proceso.
encenderLuces,Las luces han sido encendidas. Procesando.
siguienteMelodia,Cambiando a la melodía siguiente. Ejecutando ahora.
abrirPuerta,Iniciando apertura de la puerta. Solicitud recibida.
anteriorMelodia,Volviendo a la pista anterior.
modoSuper,Activando estado de máximo nivel. Por favor.
modoSuper,Entrando al modo super. Solicitud recibida.
abrirPuerta,Iniciando apertura de la puerta. Por favor.
modoSuper,Entrando al modo super. Ejecutando ahora.
cerrarPuerta,Iniciando cierre de la puerta.
apagarLuces,Apagando luces del hogar. Acción confirmada.
cerrarPuerta,Iniciando cierre de la puerta. Procesando.
siguienteMelodia,Cambiando a la melodía siguiente. Acción confirmada.
encenderLuces,Encendiendo luces del hogar. Ejecutando ahora.
modoSuper,Modo super activado. Ejecutando ahora.
encenderLuces,Activando iluminación general.
siguienteMelodia,Avanzando a la siguiente pista musical. Iniciando proceso.
encenderLuces,Las luces han sido encendidas. Iniciando proceso.
abrirPuerta,Accionando mecanismo para abrir la puerta. Por favor.
apagarLuces,Las luces han sido apagadas. Gracias.
anteriorMelodia,Retrocediendo a la melodía previa. Ejecutando ahora.
modoNormal,Regresando al modo estándar. Acción confirmada.
cerrarPuerta,Cerrando puerta principal. Por favor.
abrirPuerta,Accionando mecanismo para abrir la puerta. Procesando.
anteriorMelodia,Volviendo a la pista anterior. Acción confirmada.
apagarLuces,Las luces han sido apagadas. Iniciando proceso.
anteriorMelodia,Retrocediendo a la melodía previa. Iniciando proceso.
abrirPuerta,Accionando mecanismo para abrir la puerta. Gracias.
siguienteMelodia,Reproduciendo la siguiente melodía. Iniciando proceso.
modoSuper,Modo super activado. Gracias.
abrirPuerta,Abriendo puerta principal. Gracias.
cerrarPuerta,Cerrando puerta principal. Solicitud recibida.
cerrarPuerta,Iniciando cierre de la puerta. Gracias.
encenderLuces,Las luces han sido encendidas. Iniciando proceso.
siguienteMelodia,Cambiando a la melodía siguiente. Procesando.
anteriorMelodia,Volviendo a la pista anterior. Gracias.
modoSuper,Entrando al modo super. Gracias.
modoNormal,Regresando al modo estándar.
cerrarPuerta,Cerrando puerta principal. Acción confirmada.
encenderLuces,Las luces han sido encendidas. Iniciando proceso.
modoSuper,Activando estado de máximo nivel.
modoSuper,Entrando al modo super. Iniciando proceso.
modoSuper,Modo super activado. Procesando.
anteriorMelodia,Retrocediendo a la melodía previa. Acción confirmada.
abrirPuerta,Iniciando apertura de la puerta.
siguienteMelodia,Avanzando a la siguiente pista musical. Ejecutando ahora.
modoSuper,Activando estado de máximo nivel. Acción confirmada.
cerrarPuerta,Cerrando puerta principal. Procesando.
modoNormal,Reestableciendo estado normal del sistema. Procesando.
siguienteMelodia,Cambiando a la melodía siguiente. Iniciando proceso.
anteriorMelodia,Reproduciendo la melodía anterior. Por favor.
modoSuper,Modo super activado. Solicitud recibida.
encenderLuces,Las luces han sido encendidas. Ejecutando ahora.
modoSuper,Modo super activado. Gracias.
apagarLuces,Las luces han sido apagadas. Por favor.
